,nac,region,sexo,edad,edu,ingreso,esc,region,prof,ing_nivel
1,3,1,2,56,9,250000,12,1,0,0
2,3,1,2,21,7,"2,00E+05",7,1,0,0
3,1,1,1,24,9,281750,12,1,0,0
4,3,1,1,28,9,311750,12,1,0,0
5,3,1,1,26,13,341667,15,1,0,0
6,1,1,2,62,8,130000,7,1,0,0
7,1,1,2,59,9,595000,12,1,0,1
8,1,1,2,23,13,540000,14,1,0,1
9,1,1,1,23,11,540000,12,1,0,1
10,1,1,2,50,9,336000,12,1,0,0
11,1,1,2,24,14,420000,15,1,0,0
12,1,1,1,48,7,"2,00E+05",8,1,0,0
13,1,1,2,34,9,380000,12,1,0,0
14,1,1,1,43,11,"3,00E+05",12,1,0,0
15,1,1,2,68,7,333333,6,1,0,0
16,1,1,2,53,9,270000,12,1,0,0
17,1,1,1,19,9,140000,12,1,0,0
18,1,1,1,65,9,145395,12,1,0,0
19,1,1,2,60,9,"5,00E+05",12,1,0,0
20,1,1,2,32,15,"5,00E+05",17,1,1,0
21,1,1,2,43,9,"4,00E+05",12,1,0,0
22,1,1,1,52,9,386260,11,1,0,0
23,1,1,2,77,15,101000,16,1,1,0
24,1,1,1,27,15,"1,00E+06",17,1,1,1
25,1,1,2,29,15,"7,00E+05",17,1,1,1
26,3,1,2,34,15,450000,17,1,1,0
27,3,1,1,56,9,"6,00E+05",12,1,0,1
28,1,1,2,44,11,350000,12,1,0,0
29,3,1,2,31,9,240000,12,1,0,0
30,1,1,2,52,9,260000,12,1,0,0
31,3,1,1,33,9,353500,12,1,0,0
32,3,1,2,25,9,350000,12,1,0,0
33,1,1,1,45,9,320000,12,1,0,0
34,3,1,2,44,9,320000,9,1,0,0
35,3,1,1,22,9,"2,00E+05",10,1,0,0
36,1,1,1,44,9,260000,12,1,0,0
37,3,1,2,35,9,262500,12,1,0,0
38,3,1,2,50,7,"5,00E+05",1,1,0,0
39,3,1,2,31,9,"3,00E+05",12,1,0,0
40,1,1,2,69,13,358333,15,1,0,0
41,1,1,2,40,9,"3,00E+05",12,1,0,0
42,1,1,1,48,9,"1,00E+06",12,1,0,1
43,1,1,1,43,9,"5,00E+05",11,1,0,0
44,1,1,1,60,11,806667,12,1,0,1
45,1,1,1,51,7,1300000,6,1,0,1
46,1,1,2,48,9,"4,00E+05",12,1,0,0
47,1,1,2,34,14,"4,00E+05",14,1,0,0
48,3,1,1,37,15,"1,00E+06",16,1,1,1
49,3,1,2,34,15,"1,00E+06",16,1,1,1
50,1,1,1,46,9,"4,00E+05",12,1,0,0
51,1,1,2,49,11,370000,12,1,0,0
52,1,1,2,29,15,550000,17,1,1,1
53,1,1,1,37,15,1329622,17,1,1,1
54,1,1,1,35,15,1800000,17,1,1,1
55,1,1,1,64,15,2416667,16,1,1,1
56,1,1,2,48,13,276667,14,1,0,0
57,1,1,1,66,15,"1,00E+06",17,1,1,1
58,1,1,2,72,11,"6,00E+05",11,1,0,1
59,1,1,1,59,17,1380000,18,1,1,1
60,1,1,2,50,13,"2,00E+06",15,1,0,1
61,1,1,2,41,9,180000,12,1,0,0
62,1,1,1,50,9,350000,12,1,0,0
63,1,1,1,40,9,350000,12,1,0,0
64,1,1,2,38,9,350000,12,1,0,0
65,1,1,1,47,15,550000,17,1,1,1
66,1,1,2,38,11,"4,00E+05",12,1,0,0
67,1,1,1,63,7,"3,00E+05",8,1,0,0
68,1,1,2,69,7,"3,00E+05",8,1,0,0
69,1,1,1,29,15,807662,17,1,1,1
70,1,1,2,35,15,695138,17,1,1,1
71,3,1,2,48,7,270000,4,1,0,0
72,3,1,2,28,15,"2,00E+05",17,1,1,0
73,1,1,1,47,15,2002500,17,1,1,1
74,1,1,2,29,15,1080000,17,1,1,1
75,1,1,2,38,17,2600000,17,1,1,1
76,1,1,1,39,15,2200000,17,1,1,1
77,1,1,1,44,15,1820833,17,1,1,1
78,1,1,2,41,15,"9,00E+05",17,1,1,1
79,1,1,1,25,9,570917,12,1,0,1
80,3,1,1,25,9,410000,12,1,0,0
81,1,1,1,46,15,1400000,17,1,1,1
82,1,1,2,30,15,"1,00E+06",17,1,1,1
83,1,1,1,28,15,766667,17,1,1,1
